strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url	previous_study
HK20-42_MT797634_2020-01-XX	?	spike	Human	MT797634	2020-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797634	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK04-01_MT797676_2004-04-XX	?	spike	Human	MT797676	2004-04-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797676	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK04-02_MT797677_2004-06-XX	?	spike	Human	MT797677	2004-06-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797677	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-03_MT797678_2005-02-XX	?	spike	Human	MT797678	2005-02-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797678	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-04_MT797679_2005-03-XX	?	spike	Human	MT797679	2005-03-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797679	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-05_MT797680_2005-04-XX	?	spike	Human	MT797680	2005-04-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797680	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-06_MT797681_2005-10-XX	?	spike	Human	MT797681	2005-10-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797681	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-07_MT797682_2005-11-XX	?	spike	Human	MT797682	2005-11-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797682	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-08_MT797683_2005-11-XX	?	spike	Human	MT797683	2005-11-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797683	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-09_MT797684_2005-11-XX	?	spike	Human	MT797684	2005-11-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797684	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-10_MT797685_2005-11-XX	?	spike	Human	MT797685	2005-11-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797685	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-11_MT797686_2005-12-XX	?	spike	Human	MT797686	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797686	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-12_MT797687_2005-12-XX	?	spike	Human	MT797687	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797687	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-13_MT797688_2005-12-XX	?	spike	Human	MT797688	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797688	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-14_MT797689_2005-12-XX	?	spike	Human	MT797689	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797689	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-15_MT797690_2005-12-XX	?	spike	Human	MT797690	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797690	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-16_MT797691_2005-12-XX	?	spike	Human	MT797691	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797691	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-17_MT797692_2005-12-XX	?	spike	Human	MT797692	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797692	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-18_MT797693_2005-12-XX	?	spike	Human	MT797693	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797693	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-19_MT797694_2005-12-XX	?	spike	Human	MT797694	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797694	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-20_MT797695_2005-12-XX	?	spike	Human	MT797695	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797695	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-21_MT797696_2005-12-XX	?	spike	Human	MT797696	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797696	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK05-22_MT797697_2005-12-XX	?	spike	Human	MT797697	2005-12-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797697	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK06-23_MT797698_2006-01-XX	?	spike	Human	MT797698	2006-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797698	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK06-24_MT797699_2006-01-XX	?	spike	Human	MT797699	2006-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797699	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK06-25_MT797700_2006-01-XX	?	spike	Human	MT797700	2006-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797700	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK06-26_MT797701_2006-01-XX	?	spike	Human	MT797701	2006-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797701	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK06-27_MT797702_2006-01-XX	?	spike	Human	MT797702	2006-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797702	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK06-28_MT797703_2006-01-XX	?	spike	Human	MT797703	2006-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797703	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK06-29_MT797704_2006-01-XX	?	spike	Human	MT797704	2006-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797704	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK09-30_MT797705_2009-05-XX	?	spike	Human	MT797705	2009-05-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797705	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK09-31_MT797706_2009-05-XX	?	spike	Human	MT797706	2009-05-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797706	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK11-32_MT797707_2011-02-XX	?	spike	Human	MT797707	2011-02-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797707	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK11-33_MT797708_2011-05-XX	?	spike	Human	MT797708	2011-05-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797708	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK11-34_MT797709_2011-05-XX	?	spike	Human	MT797709	2011-05-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797709	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK11-35_MT797710_2011-07-XX	?	spike	Human	MT797710	2011-07-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797710	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK12-36_MT797711_2012-01-XX	?	spike	Human	MT797711	2012-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797711	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK13-37_MT797712_2013-02-XX	?	spike	Human	MT797712	2013-02-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797712	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK13-38_MT797713_2013-05-XX	?	spike	Human	MT797713	2013-05-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797713	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK13-39_MT797714_2013-05-XX	?	spike	Human	MT797714	2013-05-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797714	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK16-40_MT797715_2016-01-XX	?	spike	Human	MT797715	2016-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797715	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HK16-41_MT797716_2016-01-XX	?	spike	Human	MT797716	2016-01-XX	Hong Kong	Asia	Hong Kong	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/MT797716	Molecular Evolution of Human Coronavirus 229E in Hong Kong and a	mSphere (2021) In press	?	no
HCoV-229E_USA_UNM_0186_2016_MT438696_2016-02-09	?	spike	Human	MT438696	2016-02-09	USA: Albuquerque, New Mexico	North America	USA	?	Dinwiddie et al	https://www.ncbi.nlm.nih.gov/nuccore/MT438696	Clinical, Genomic, and Phylogenetic Characterization of Common	Unpublished	?	no
HCoV-229E_USA_ACRI_0244_2017_MT438697_2017-02-24	?	spike	Human	MT438697	2017-02-24	USA: Little Rock, Arkansas	North America	USA	?	Dinwiddie et al	https://www.ncbi.nlm.nih.gov/nuccore/MT438697	Clinical, Genomic, and Phylogenetic Characterization of Common	Unpublished	?	no
HCoV-229E_USA_ACRI_0256_2017_MT438698_2017-02-24	?	spike	Human	MT438698	2017-02-24	USA: Little Rock, Arkansas	North America	USA	?	Dinwiddie et al	https://www.ncbi.nlm.nih.gov/nuccore/MT438698	Clinical, Genomic, and Phylogenetic Characterization of Common	Unpublished	?	no
HCoV-229E_USA_UAMS_DID_0108_2017_MT438700_2017-01-27	?	spike	Human	MT438700	2017-01-27	USA: Little Rock, Arkansas	North America	USA	?	Dinwiddie et al	https://www.ncbi.nlm.nih.gov/nuccore/MT438700	Clinical, Genomic, and Phylogenetic Characterization of Common	Unpublished	?	no
11949_2011_KM055531_2011-XX-XX	?	spike	Human	KM055531	2011-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055531	The evolution of human coronavirus 229E	Unpublished	?	no
1512A_2009_KM055532_2009-XX-XX	?	spike	Human	KM055532	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055532	The evolution of human coronavirus 229E	Unpublished	?	no
1518A_2009_KM055533_2009-XX-XX	?	spike	Human	KM055533	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055533	The evolution of human coronavirus 229E	Unpublished	?	no
1546A_2009_KM055534_2009-XX-XX	?	spike	Human	KM055534	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055534	The evolution of human coronavirus 229E	Unpublished	?	no
1649A_2009_KM055535_2009-XX-XX	?	spike	Human	KM055535	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055535	The evolution of human coronavirus 229E	Unpublished	?	no
1658A_2009_KM055536_2009-XX-XX	?	spike	Human	KM055536	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055536	The evolution of human coronavirus 229E	Unpublished	?	no
1667A_2009_KM055537_2009-XX-XX	?	spike	Human	KM055537	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055537	The evolution of human coronavirus 229E	Unpublished	?	no
1761A_2010_KM055538_2010-XX-XX	?	spike	Human	KM055538	2010-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055538	The evolution of human coronavirus 229E	Unpublished	?	no
1781A_2010_KM055539_2010-XX-XX	?	spike	Human	KM055539	2010-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055539	The evolution of human coronavirus 229E	Unpublished	?	no
1782A_2010_KM055540_2010-XX-XX	?	spike	Human	KM055540	2010-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055540	The evolution of human coronavirus 229E	Unpublished	?	no
1827A_2010_KM055541_2010-XX-XX	?	spike	Human	KM055541	2010-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055541	The evolution of human coronavirus 229E	Unpublished	?	no
1829A_2010_KM055542_2010-XX-XX	?	spike	Human	KM055542	2010-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055542	The evolution of human coronavirus 229E	Unpublished	?	no
1990A_2010_KM055543_2010-XX-XX	?	spike	Human	KM055543	2010-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055543	The evolution of human coronavirus 229E	Unpublished	?	no
2764A_2011_KM055544_2011-XX-XX	?	spike	Human	KM055544	2011-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055544	The evolution of human coronavirus 229E	Unpublished	?	no
8339_2009_KM055545_2009-XX-XX	?	spike	Human	KM055545	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055545	The evolution of human coronavirus 229E	Unpublished	?	no
8373_2009_KM055546_2009-XX-XX	?	spike	Human	KM055546	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055546	The evolution of human coronavirus 229E	Unpublished	?	no
8425_2009_KM055547_2009-XX-XX	?	spike	Human	KM055547	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055547	The evolution of human coronavirus 229E	Unpublished	?	no
2861A_2011_KM055548_2011-XX-XX	?	spike	Human	KM055548	2011-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055548	The evolution of human coronavirus 229E	Unpublished	?	no
2961A_2011_KM055549_2011-XX-XX	?	spike	Human	KM055549	2011-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055549	The evolution of human coronavirus 229E	Unpublished	?	no
2981A_2011_KM055550_2011-XX-XX	?	spike	Human	KM055550	2011-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055550	The evolution of human coronavirus 229E	Unpublished	?	no
359A_2007_KM055551_2007-XX-XX	?	spike	Human	KM055551	2007-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055551	The evolution of human coronavirus 229E	Unpublished	?	no
423A_2007_KM055552_2007-XX-XX	?	spike	Human	KM055552	2007-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055552	The evolution of human coronavirus 229E	Unpublished	?	no
1482A_2009_KM055553_2009-XX-XX	?	spike	Human	KM055553	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055553	The evolution of human coronavirus 229E	Unpublished	?	no
494A_2008_KM055554_2008-XX-XX	?	spike	Human	KM055554	2008-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055554	The evolution of human coronavirus 229E	Unpublished	?	no
507A_2008_KM055555_2008-XX-XX	?	spike	Human	KM055555	2008-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055555	The evolution of human coronavirus 229E	Unpublished	?	no
693A_2008_KM055556_2008-XX-XX	?	spike	Human	KM055556	2008-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055556	The evolution of human coronavirus 229E	Unpublished	?	yes
748_2005_KM055557_2005-XX-XX	?	spike	Human	KM055557	2005-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055557	The evolution of human coronavirus 229E	Unpublished	?	no
8348_2009_KM055558_2009-XX-XX	?	spike	Human	KM055558	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055558	The evolution of human coronavirus 229E	Unpublished	?	no
857_2005_KM055559_2005-XX-XX	?	spike	Human	KM055559	2005-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055559	The evolution of human coronavirus 229E	Unpublished	?	no
1424A_2009_KM055560_2009-XX-XX	?	spike	Human	KM055560	2009-XX-XX	China	Asia	China	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/KM055560	The evolution of human coronavirus 229E	Unpublished	?	no
HCoV_229E_Seattle_USA_SC579_2016_KY369908_2016-XX-XX	?	spike	Human	KY369908	2016-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Greninger et al	https://www.ncbi.nlm.nih.gov/nuccore/KY369908	Direct Submission	Submitted (16-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue,	?	no
HCoV_229E_Seattle_USA_SC677_2016_KY369909_2016-XX-XX	?	spike	Human	KY369909	2016-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Greninger et al	https://www.ncbi.nlm.nih.gov/nuccore/KY369909	Direct Submission	Submitted (16-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue,	?	yes
HCoV_229E_Seattle_USA_SC1143_2016_KY369910_2016-XX-XX	?	spike	Human	KY369910	2016-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Greninger et al	https://www.ncbi.nlm.nih.gov/nuccore/KY369910	Direct Submission	Submitted (16-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue,	?	no
HCoV_229E_Seattle_USA_SC1212_2016_KY369911_2016-XX-XX	?	spike	Human	KY369911	2016-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Greninger et al	https://www.ncbi.nlm.nih.gov/nuccore/KY369911	Direct Submission	Submitted (16-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue,	?	no
HCoV_229E_Seattle_USA_SC9731_2016_KY369912_2016-XX-XX	?	spike	Human	KY369912	2016-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Greninger et al	https://www.ncbi.nlm.nih.gov/nuccore/KY369912	Direct Submission	Submitted (16-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue,	?	no
HCoV_229E_Seattle_USA_SC1073_2016_KY369913_2016-XX-XX	?	spike	Human	KY369913	2016-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Greninger et al	https://www.ncbi.nlm.nih.gov/nuccore/KY369913	Direct Submission	Submitted (16-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue,	?	no
HCoV_229E_Seattle_USA_SC9773_2016_KY369914_2016-XX-XX	?	spike	Human	KY369914	2016-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Greninger et al	https://www.ncbi.nlm.nih.gov/nuccore/KY369914	Direct Submission	Submitted (17-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue,	?	no
HCoV-229E_BN1_GER_2015_KU291448_2015-XX-XX	?	spike	Human	KU291448	2015-XX-XX	Germany	Europe	Germany	?	Corman et al	https://www.ncbi.nlm.nih.gov/nuccore/KU291448	Link of a ubiquitous human coronavirus to dromedary camels	Proc. Natl. Acad. Sci. U.S.A. (2016) In press	https://pubmed.ncbi.nlm.nih.gov/27528677	no
229E_KF293664_2013-10-01	?	spike	Human	KF293664	2013-10-01	Sweden	Europe	Sweden	?	Lundin et al	https://www.ncbi.nlm.nih.gov/nuccore/KF293664	A Novel Inhibitor of Human Coronavirus 229E Infectivity Targeting	Unpublished	?	no
229E_KF293665_2013-10-01	?	spike	Human	KF293665	2013-10-01	Sweden	Europe	Sweden	?	Lundin et al	https://www.ncbi.nlm.nih.gov/nuccore/KF293665	A Novel Inhibitor of Human Coronavirus 229E Infectivity Targeting	Unpublished	?	no
229E_KF293666_2013-10-01	?	spike	Human	KF293666	2013-10-01	Sweden	Europe	Sweden	?	Lundin et al	https://www.ncbi.nlm.nih.gov/nuccore/KF293666	A Novel Inhibitor of Human Coronavirus 229E Infectivity Targeting	Unpublished	?	no
229E_human_USA_892-11_1989_KF514429_1989-02-07	?	spike	Human	KF514429	1989-02-07	USA: Nashville, TN	North America	USA	BioProject: PRJNA260063	Town et al	https://www.ncbi.nlm.nih.gov/nuccore/KF514429	Direct Submission	Submitted (29-JUL-2013) J. Craig Venter Institute, 9704 Medical	?	no
229E_human_USA_933-50_1993_KF514430_1993-03-18	?	spike	Human	KF514430	1993-03-18	USA: Nashville, TN	North America	USA	BioProject: PRJNA260063	Town et al	https://www.ncbi.nlm.nih.gov/nuccore/KF514430	Direct Submission	Submitted (29-JUL-2013) J. Craig Venter Institute, 9704 Medical	?	no
229E_human_USA_953-49_1995_KF514431_1995-03-23	?	spike	Human	KF514431	1995-03-23	USA: Nashville, TN	North America	USA	BioProject: PRJNA260063	Town et al	https://www.ncbi.nlm.nih.gov/nuccore/KF514431	Direct Submission	Submitted (29-JUL-2013) J. Craig Venter Institute, 9704 Medical	?	no
229E_human_USA_932-72_1993_KF514432_1993-02-22	?	spike	Human	KF514432	1993-02-22	USA: Nashville, TN	North America	USA	BioProject: PRJNA260063	Town et al	https://www.ncbi.nlm.nih.gov/nuccore/KF514432	Direct Submission	Submitted (29-JUL-2013) J. Craig Venter Institute, 9704 Medical	?	no
229E_human_USA_933-40_1993_KF514433_1993-03-11	?	spike	Human	KF514433	1993-03-11	USA: Nashville, TN	North America	USA	BioProject: PRJNA260063	Town et al	https://www.ncbi.nlm.nih.gov/nuccore/KF514433	Direct Submission	Submitted (29-JUL-2013) J. Craig Venter Institute, 9704 Medical	?	no
ATCC_VR-740_AB691763_2012-08-23	?	spike	Human	AB691763	2012-08-23	?	?	?	?	Shirato et al	https://www.ncbi.nlm.nih.gov/nuccore/AB691763	Differences in neutralizing antigenicity between laboratory and	J. Gen. Virol. 93 (PT 9), 1908-1917 (2012)	https://pubmed.ncbi.nlm.nih.gov/22673931	no
ATCC_VR-740_DQ243963_2016-07-26	?	spike	Human	DQ243963	2016-07-26	?	?	?	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243963	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-11_6_79_DQ243964_2016-07-26	?	spike	Human	DQ243964	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243964	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-16_6_82_DQ243965_2016-07-26	?	spike	Human	DQ243965	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243965	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-22_9_82_DQ243966_2016-07-26	?	spike	Human	DQ243966	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243966	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-6_10_82_DQ243967_2016-07-26	?	spike	Human	DQ243967	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243967	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-21_10_82_DQ243968_2016-07-26	?	spike	Human	DQ243968	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243968	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-8_11_82a_DQ243969_2016-07-26	?	spike	Human	DQ243969	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243969	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
